Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50Kb	associated_gene-4DGenome	Cell/Tissue	Detection_method	PMID	closest_gene	distance
19	chr1	232366456	232369934	232368303	N	NA	NA	NA	NA	NA	NA	KIAA1383	570704
20	chr1	38734325	38738047	38736425	N	NA	NA	POU3F1	IMR90	Hi-C	24141950	POU3F1	221875
21	chr1	38890040	38896645	38890917	N	NA	NA	RRAGC	IMR90	Hi-C	24141950	POU3F1	377590
22	chr1	5176282	5180200	5178053	N	NA	NA	NA	NA	NA	NA	AJAP1	461177
23	chr1	53912186	53916339	53914339	N	NA	NA	LRP8,DMRTB1,GLIS1,TMEM48,YIPF1	IMR90	Hi-C	24141950	LRP8	118365
24	chr1	564343	570386	567282	N	NA	NA	NA	NA	NA	NA	LINC00115	192516
25	chr1	59541227	59547335	59544047,59545327	N,N	NA;NA	NA	MIR4711,FGGY,JUN,LOC100131060,HSD52	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	JUN	291442
26	chr1	81709695	81716439	81711242,81716368,81712028	N,N,N	NA;NA;NA	NA	NA	NA	NA	NA	LPHN2	549643
27	chr1	9488396	9489990	9489079	Y	NA	NA	H6PD,SPSB1,SLC25A33,MIR34A,GPR157	IMR90	Hi-C	24141950	TMEM201	158942
28	chr1	95125336	95126272	95125644	N	NA	NA	F3,ABCD3	IMR90	Hi-C	24141950	F3	117923
29	chr10	21580838	21583922	21582460	Y	NA	NA	C10orf114,C10orf140,MLLT10,PIP4K2A	IMR90	Hi-C	24141950	C10orf114	202291
30	chr10	26057975	26061233	26058763	N	NA	NA	NA	NA	NA	NA	THNSL1	752467
31	chr10	69621249	69622955	69622560	N	NA	SIRT1	SIRT1,MYPN,HERC4	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	SIRT1	21472
32	chr10	75725322	75728747	75726042	Y	NA	VCL	CAMK2G,AP3M1,VCL,NDST2,C10orf55,PLAU,ADK	IMR90	Hi-C	24141950	VCL	29125
33	chr10	81434495	81437857	81435655	N	NA	NA	NA	NA	NA	NA	LOC642361	147801
34	chr10	95029759	95034197	95032932	Y	NA	NA	NA	NA	NA	NA	CEP55	222172
35	chr11	10372404	10374990	10373747	Y	NA	ADM	SBF2,MRVI1,MRVI1-AS1,ADM,LOC283104	IMR90	Hi-C	24141950	ADM	45762
36	chr11	131121907	131124948	131123761	N	NA	NA	NTM	IMR90	Hi-C	24141950	SNX19	335525
37	chr11	17228846	17231696	17229659	N	NA	PIK3C2A	NA	NA	NA	NA	PIK3C2A	37492
38	chr11	73489512	73492383	73490676	Y	UCP2	RAB6A,MRPL48	MRPL48,CHCHD8,PAAF1,RAB6A	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	MRPL48	6534
39	chr11	75945917	75947675	75946788	N	NA	NA	C11orf30,MAP6,UVRAG,PRKRIR,WNT11,GUCY2E,DGAT2	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	C11orf30	208394
40	chr11	9384929	9386772	9385997	Y	ZNF143,SWAP70,TMEM9B,NRIP3,DENND5A,TMEM41B,IPO7	TMEM41B,IPO7	ZNF143,IPO7,TMEM41B,DENND5A,KRT8P41,SCUBE2,LOC644656	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	IPO7	19397
41	chr12	14858606	14862412	14858950	N	NA	GUCY2C	NA	NA	NA	NA	GUCY2C	9087
42	chr12	14865248	14868098	14866695	N	NA	GUCY2C	NA	NA	NA	NA	GUCY2C	15729
43	chr12	4133175	4137452	4134406	N	NA	NA	CCND2	IMR90	Hi-C	24141950	PARP11	150567
44	chr12	59717237	59724689	59718003,59723383	N,N	NA;NA	NA	NA	NA	NA	NA	LRIG3	402975
45	chr12	73388994	73397645	73395181	N	NA	NA	NA	NA	NA	NA	LOC283392	721705
46	chr12	79932129	79947566	79942200,79933798,79943175	N,N,N	NA;NA;NA	NA	SYT1,PAWR,PPP1R12A	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	PAWR	137224
47	chr12	8178130	8181260	8179369	Y	NA	FOXJ2	PEX5,SLC2A14,SLC2A3,FOXJ2,C3AR1,NECAP1	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	FOXJ2	4099
48	chr12	8961782	8963683	8962823	N	NA	A2ML1	NA	NA	NA	NA	A2ML1	11467
49	chr12	92539318	92541699	92539793	N	NA	LOC256021	NA	NA	NA	NA	LOC256021	2871
50	chr13	44714386	44717610	44716269	N	NA	NA	TSC22D1,SERP2	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	CCDC122	260560
51	chr13	51740696	51748993	51743404,51748434	N,N	NA;NA	FAM124A	FAM124A	IMR90	Hi-C	24141950	FAM124A	47477
52	chr13	54839299	54851128	54842016	N	NA	NA	NA	NA	NA	NA	LECT1	1525352
53	chr13	56224749	56229160	56227903	N	NA	NA	NA	NA	NA	NA	LECT1	2910802
54	chr13	56232746	56238941	56234660,56234768	N,N	NA;NA	NA	NA	NA	NA	NA	LECT1	2918799
55	chr14	38663413	38665463	38665038	N	NA	SSTR1	NA	NA	NA	NA	SSTR1	11741
56	chr14	41983432	41997867	41985199	N	NA	NA	NA	NA	NA	NA	LRFN5	78897
57	chr14	48724660	48731599	48725281,48730074	N,N	NA;NA	NA	NA	NA	NA	NA	LOC100506433	460443
58	chr14	48733118	48738317	48736265	N	NA	NA	NA	NA	NA	NA	LOC100506433	468901
59	chr14	90847424	90850434	90849670	N	NA	C14orf102,CALM1	C14orf102,CALM1,TTC7B,EFCAB11,TDP1,PSMC1	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	CALM1	12893
60	chr15	26479036	26481512	26481042	N	NA	NA	NA	NA	NA	NA	GABRB3	537423
61	chr15	35351883	35355439	35354394	Y	NA	NA	ATPBD4,ZNF770	IMR90	Hi-C	24141950	ZNF770	71386
62	chr15	42782513	42784613	42783385	N	NA	ZFP106,SNAP23	NA	NA	NA	NA	SNAP23	2891
63	chr15	72928108	72930876	72929314	N	NA	BBS4	CELF6	IMR90	Hi-C	24141950	BBS4	47644
64	chr15	79151610	79153564	79152654	Y	IREB2	ADAMTS7,MORF4L1	MORF4L1,ADAMTS7	K562,IMR90,MCF7	ChIA-PET,Hi-C	22265404,24141950	MORF4L1	11608
65	chr15	89528090	89531130	89529552	N	NA	NA	MFGE8,ABHD2	IMR90	Hi-C	24141950	MFGE8	71427
66	chr15	89536756	89539165	89538070	N	NA	NA	MFGE8,ABHD2,ISG20,HAPLN3,RLBP1	IMR90	Hi-C	24141950	MFGE8	80093
67	chr15	93362577	93364478	93363711	Y	ST8SIA2,RGMA,RGMA,RGMA,RGMA,CHD2	NA	ASB9P1,CHD2,LOC100507217	IMR90	Hi-C	24141950	LOC100507217	61595
68	chr15	97416731	97418385	97417864	N	NA	NA	NA	NA	NA	NA	ARRDC4	1085548
69	chr16	11410047	11411164	11410462	N	NA	RMI2	CLEC16A	IMR90	Hi-C	24141950	RMI2	28147
70	chr16	13438299	13451147	13447335,13442582	N,N	NA;NA	NA	NA	NA	NA	NA	SHISA9	442822
71	chr16	22644673	22645947	22645370	N	NA	NA	SLC7A5P2,OTOA,CRYM,CRYM-AS1,ZP2,HS3ST2,METTL9,THUMPD1	IMR90	Hi-C	24141950	LOC100132247	119829
72	chr16	25116011	25119676	25118677	N	NA	LCMT1	ARHGAP17,LCMT1,ZKSCAN2	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	LCMT1	3371
73	chr16	3237293	3238355	3238042	Y	NA	ZNF200	ZNF200	K562	ChIA-PET	22265404	ZNF200	47102
74	chr16	57334164	57335071	57334480	N	NA	NA	NLRC5,CPNE2,PLLP,CIAPIN1,FAM192A,RSPRY1,ARL2BP,CCL17,COQ9,CX3CL1,CCL22,POLR2C,GPR114,CCDC102A	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	ARL2BP	55126
75	chr16	60110781	60119044	60112619	N	NA	NA	NA	NA	NA	NA	GOT2	1342535
76	chr16	69563531	69565217	69564164	N	NA	NFAT5	NFAT5,CYB5B,TERF2,MIR1538	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	NFAT5	34652
77	chr16	77224049	77228009	77224858	N	NA	SYCE1L	NA	NA	NA	NA	SYCE1L	5340
78	chr17	18966170	18968773	18967633	N	NA	NA	NA	NA	NA	NA	FAM83G	58110
79	chr17	19092254	19094560	19093696	N	NA	EPN2	NA	NA	NA	NA	EPN2	46130
80	chr17	41399331	41401290	41400587	N	NA	TMEM106A	IFI35,RND2,BRCA1,VAT1,NBR2,NBR1,TMEM106A,LOC100130581,DHX8	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	TMEM106A	35437
81	chr17	66015617	66017137	66016207	Y	NA	C17orf58,KPNA2	BPTF,C17orf58,KPNA2	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	KPNA2	14711
82	chr17	72977449	72981542	72978525	Y	KIAA0195,RAB37,GRIN2C,KCTD2,FADS6,C17orf28,CDR2L	CDR2L,ICT1	CDR2L,ICT1,C17orf28,HN1	MCF7,K562	ChIA-PET	22265404	CDR2L	2185
83	chr18	54737900	54740801	54739541	N	NA	NA	NA	NA	NA	NA	ST8SIA3	278920
84	chr19	31910192	31915755	31910996	N	NA	NA	TSHZ3	IMR90	Hi-C	24141950	TSHZ3	70002
85	chr19	48101356	48105658	48101791,48103764	N,Y	NA;GLTSCR2,BBC3,PRR24,NAPA,GLTSCR1	NA	SLC8A2,MEIS3,NAPA,LOC100505681,KPTN,GLTSCR1	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	NAPA	82841
86	chr19	54335809	54343017	54336610	N	NA	MYADM,PRKCG	MYADM,CACNG8,CACNG6,VSTM1,PRPF31,TFPT,OSCAR,NDUFA3,CNOT3,LENG1,TMC4,MBOAT7,RPS9,LILRA6,LILRB5,LILRB2,MIR4752,LILRA4,TTYH1,LENG8,LAIR2	HELA,H1ESC,K562,GM12878	5C	22955621	MYADM	26594
87	chr2	133021449	133029222	133025565	Y	NA	ANKRD30BL	ANKRD30BL,GPR39,CEP68,STAMBP,NRXN1,KCNIP3,ADCY3,EML4,DDX1,MIR4778,STARD7,TGOLN2,MAP3K2,RNU4ATAC,GCC2,CNNM3,LHCGR,LOC100189589,CLASP1,GMCL1,SULT6B1,ANKRD20A8P,MRPS9,NMS,RHOQ,CAPG,DGUOK,SMYD5,MPHOSPH10,ARID5A,HAAO,RMND5A,LOC440905,LIMS2,FOXN2,GPAT2,CIB4,LOC100216479,FEZ2,LOC729121,TTC7A,RTKN,CDKL4,POLR2D,LOC339803,EMILIN1,LYG1,MYCNOS,STEAP3,FAM49A,CKAP2L,EFR3B,OTOF,HK2,CNGA3,GEMIN6,ALK,SPR,LOC440895,IL18RAP,LOC375190,PTRHD1,C2orf81,MATN3,PEX13,FABP1,NPHP1,FAM161A,DDX18,ADRA2B,KRCC1,BIRC6,CCDC74B,C2orf49,THNSL2,ST3GAL5,NAT8B,ERCC3,CCDC88A,QPCT,LOC100506123,TLX2,REG1A,LOC284950,CHCHD5,SMC6,LOC254128,PNPT1,DBI,LOC100505716,LOC285103,TMSB10,RAD51AP2,MGAT4A,PLEKHH2,ELMOD3,PKDCC,GALM,GLI2,LIMS3-LOC440895,RPL31,ASXL2,LOC100132215,SMEK2,FBLN7,EPT1,SRSF7,DUSP2,CYP4F30P,LOC100131320,LOC388948,ATOH8,GCFC2,ACTR2,C2orf27B,IWS1,GPR17,MTIF2,LBX2,POU3F3,SUPT7L,SPDYA,TEKT4,ANKRD39,WDR54,RAB1A,IL36A,FAM123C,LOC285000,REV1,GPR148,MRPL33,EPB41L5,RPS27A,CEBPZ,EHBP1,RALB,APOB,DUSP11,LOC400958,CRIPT,CYP1B1-AS1,CHAC2,GFPT1,NPAS2,PTCD3,LOC389023,TRIM54,SFXN5,MALL,NT5C1B-RDH14,LOC100507334,POLE4,C2orf18,IL1A,C2orf73,CD8A,ATL2,LOC654342,UNC50,ITPRIPL1,HADHB,IL1R1,ZFP36L2,MAP4K3,FIGLA,LOC440900,ZNF512,POTEE,PDCL3,ABCG8,CCDC142,MYADML,MIR4783,PCBP1-AS1,PFN4,LOC150568,SEMA4F,TMEM177,LOC401010,MRPL19,GCKR,TTC32,GGCX,LOC151009,THUMPD2,LOC728537,IL36B,PCDP1,VAMP5,LRRTM4,SF3B14,SULT1C2,RGPD4,MCEE,AAK1,SFTPB,SLC5A7,SCTR,ACTR1B,CIAO1,DNAJC5G,SIX3,SERTAD2,PIGF,CD8B,GGT8P,SLC9A2,NFU1,SNAR-H,POTEKP,VWA3B,SH3RF3,FAHD2B,UBXN2A,LOC284998,MEIS1,FAM98A,LOC90784,LAPTM4A,CCDC104,LOC100499194,MAPRE3,PPP1R21,ANXA4,LOC440910,LOC100506421,FAM84A,GKN2,TMEM185B,RASGRP3,ABHD1,AFF3,CRIM1,MOGS,BOLA3,DNAJC27,MZT2B,MAL,NRBP1,UXS1,PRKD3,SOCS5,FLJ30838,TTC31,RNF103-CHMP3,HADHA,MIR4435-1,NOTO,RPL23AP7,C1QL2,CHMP3,RNF149,AUP1,TBC1D8,AGBL5,GYPC,MSH6,LOC728730,VPS54,EIF5B,GALNT14,PLEK,GEN1,LOC100505876,MIR4432,VAMP8,ST6GAL2,C2orf91,KIAA1841,MORN2,LOC100128590,IL1RL2,BMP10,EIF2B4,ARHGEF4,REG3A,SULT1C3,ADD2,TSN,IFT172,TSGA10,HNRPLL,DPY30,LGALSL,ZNF2,ZNF638,IMP4,CCDC138,INSIG2,ACOXL,FBXO41,DYSF,C2orf51,TMEM214,TMEM127,ALMS1P,CDC42EP3,MZT2A,TMEM150A,EGR4,FOXI3,C2orf16,FOSL2,OR7E91P,UGGT1,TMEM87B,TXNDC9,NBAS,CREG2,RGPD6,ABCG5,PUM2,RNF181,LINC00116,LOC646743,MIR4757,C2orf78,MRPL35,LOC541471,INHBB,RHOB,LOC388942,STON1-GTF2A1L,DCTN1,CCDC115,LOC100129726,KCNS3,UNQ6975,ZAP70,NAGK,C2orf53,MIR4436A,C2orf76,THADA,VRK2,SLC5A6,RABL2A,CCDC75,PLEKHB2,MXD1,ANKRD36BP2,REG1P,MIR217,C2orf63,ASTL,WDR33,NLRC4,XPO1,RETSAT,TUBA3E,TRIM43B,CAMKMT,BCL2L11,PUS10,PAIP2B,RPIA,SH2D6,PCBP1,USP39,REG3G,FSHR,MYCN,SEMA4C,ANKRD23,C1D,IL1R2,MKI67IP,MOB1A,LOC389043,ACTR3BP2,EPCAM,MAT2A,PCGF1,RGPD2,BIN1,KANSL3,LOC100287010,LOXL3,CD207,DPYSL5,VAX2,PPP1CB,POLR1A,LOC644838,BCL11A,SULT1C4,ANKRD36,DBIL5P2,B3GNT2,LINC00309,ARHGEF33,TFCP2L1,C2orf89,IL1F10,OTX1,PPM1B,GKN1,ANTXR1,FKBP1B,ATP6V1B1,CCT7,CCDC74A,TEX261,MTA3,MFSD9,COX5B,RGPD1,FOXD4L1,FLJ42351,EFEMP1,SLC30A6,FAM168B,GDF7,NEURL3,TUBA3D,POLR1B,USP34,MSH2,MFSD2B,EXOC6B,RANBP2,LRRTM1,LOC100286979,C2orf84,KCNK12,MIR4267,CAD,FAM138B,SPRED2,HTRA2,ACTG2,AHSA2,SLC30A3,RBKS,NCK2,MIR548AD,FLJ16341,TRMT61B,SLC1A4,PROKR1,ATAD2B,LOC100630918,LCLAT1,CAPN14,LMAN2L,C2orf65,CTNNA2,SRD5A2,MIR4265,CCT4,INPP4A,SLC20A1,COX7A2L,SNRNP27,TMEM178,MIR4266,SULT1C2P1,MIR4436B1,MRPS5,IMMT,ALMS1,CYP27C1,HS6ST1,LOC728819,WTH3DI,CHST10,LOC375196,SMPD4,OSR1,PAPOLG,KRTCAP3,EPAS1,MDH1,C2orf74,IL18R1,LOC1720,CCDC164,LOC285074,VIT,PLGLB2,C2orf61,LONRF2,CCDC85A,UCN,C2orf28,DQX1,FAM178B,CENPA,MRPL30,MERTK,TCF23,DNAJC27-AS1,FAM176A,IL36G,IL1B,LIPT1,ZNF513,COA5,CLEC4F,PPP3R1,BRE,C2orf15,RAB6C,DOK1,PLGLA,GPR45,MIR4780,TMEM131,CBWD2,TSPYL6,LOC388946,CLIP4,C2orf42,SNRPG,LOC654433,LOC100505624,PTPN18,C2orf71,POMC,EML6,KIF3C,WASH2P,LOC150776,GTF3C2,WDR43,MEMO1,ETAA1,TRIM43,MRPL53,CAPN13,MIR4264,TIA1,SPTBN1,CENPO,C2orf55,FLJ12334,HS1BP3,COMMD1,IL1RN,LOC285033,ANKRD36B,LOC440894,PRADC1,C2orf68,TCF7L1,TMEM37,ATP6V1E2,SIX2,REG1B,CYP26B1,PREPL,WDR35,PAX8,OST4,CGREF1,PELI1,REL,POTEF,ZC3H8,KLHL29,DHX57,C2orf40,CNTNAP5,C2orf44,TGFBRAP1,PRKCE,LRPPRC,SLC35F5,FBXO48,GPR113,SUCLG1,LOC100288911,NCAPH,WDR92,TACR1,MARCO,MIR216A,CALM2,BUB1,ANKRD53,SLC4A1AP,DDX11L2,LOC100134259,FANCL,ACYP2,ITSN2,DNMT3A,PROM2,LYG2,LOC100287216,GPR75-ASB3,PCYOX1,MAP4K4,PNO1,LOC151534,YIPF4,PREB,ANAPC1,EMX1,REEP1,GPN1,PRORSD1P,ZNF514,WDPCP,KDM3A,NAT8,KCMF1,YPEL5,C2orf27A,LIMS1,EDAR,DYNC2LI1,LOC339807,SEPT10,FUNDC2P2,EHD3,SLC9A4,RAB10,FAM179A,HEATR5B,IL37,OXER1,SOWAHC,AFTPH,LOC389033,LOC729234,DNAH6,TET3,SMYD1,RGPD8,UGP2,LOC442028,STRN,CFC1B,LTBP1,FNDC4,MIR3682,MYO7B,ZC3H6,SNX17,TGFA,C2orf56,TPRKB,TMEM17,SAP130,FBXO11,AMMECR1L,RFX8,EIF2AK3,GNLY,PLB1,MSGN1,SLC3A1,TMEM182,C2orf29,LINC00486,FAM59B,PTPN4,CNNM4,RTN4,ACTR3,MITD1,LOC645949,IL1RL1,PPM1G,ASB3,INO80B-WBP1,CNRIP1,XDH,LBH,IL36RN,SLC8A1,PROC,LINC00152,KHK,EN1,NCOA1,FAM82A1,KCNK3,FAM136A,FER1L5,PSD4,SNORD89,SLC4A5,MPV17,SDC1,SPAST,VSNL1,ERLEC1,MIR216B,SRBD1,APLF,CCDC93,LOC84931,CCDC121,C2orf43,SFT2D3,DTNB,RGPD3,TTL,FHL2,LOC100133985,SOS1,TP53I3,RAB11FIP5,ARHGAP25,MTHFD2,BOLA3-AS1,KCNG3,EIF2AK2,DPP10,CYP1B1,C2orf70,TTC27,SNRNP200,PSME4,FAHD2A,MCFD2	IMR90	Hi-C	24141950	ANKRD30BL	5907
88	chr2	155445325	155446952	155446253	N	NA	NA	NA	NA	NA	NA	RPRM	1110003
89	chr2	157257149	157257853	157257488	N	NA	GPD2	NR4A2,GALNT5,GPD2	MCF7,IMR90,K562	ChIA-PET,Hi-C	22265404,24141950	GPD2	34112
90	chr2	16244401	16247058	16245700	N	NA	NA	NA	NA	NA	NA	MYCNOS	162556
91	chr2	188425138	188432184	188430948	N	NA	NA	NA	NA	NA	NA	GULP1	724212
92	chr2	188896250	188904006	188897689	N	NA	NA	NA	NA	NA	NA	GULP1	252390
93	chr2	201063187	201069735	201067530	N	NA	NA	SPATS2L	IMR90	Hi-C	24141950	SPATS2L	100869
94	chr2	208198180	208201006	208199867	N	NA	NA	KLF7	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	KLF7	167566
95	chr2	210171431	210191167	210171989	N	NA	NA	NA	NA	NA	NA	RPE	676214
96	chr2	224588656	224591100	224589877	N	NA	NA	AP1S3	MCF7	ChIA-PET	22265404	AP1S3	111219
97	chr2	232530114	232532697	232531297	Y	NA	PTMA	COPS7B,PTMA	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	PTMA	40538
98	chr2	35662558	35667273	35662585,35666135	N,N	NA;NA	NA	NA	NA	NA	NA	CRIM1	916097
99	chr2	39349815	39353149	39351598	N	NA	SOS1	NA	NA	NA	NA	SOS1	2211
100	chr2	43037386	43038859	43038115	N	NA	NA	THADA,ZFP36L2,LOC100129726,HAAO,PLEKHH2	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	MTA3	241715
101	chr2	47569560	47574530	47572274	N	NA	EPCAM	EPCAM,MSH2	IMR90	Hi-C	24141950	EPCAM	21757
102	chr2	61808589	61810418	61809804	N	NA	XPO1	NA	NA	NA	NA	XPO1	43171
103	chr2	64477666	64498917	64479209,64483903	N,N	NA;NA	LINC00309	LINC00309,PELI1	IMR90	Hi-C	24141950	LINC00309	45047
104	chr2	67559388	67565005	67560277	N	NA	NA	MEIS1,ETAA1	IMR90	Hi-C	24141950	ETAA1	59437
105	chr2	76800783	76812009	76807039,76801352	N,N	NA;NA	NA	NA	NA	NA	NA	GCFC2	862672
106	chr2	85183055	85185494	85185344	Y	NA	KCMF1	TMSB10,KCMF1	IMR90	Hi-C	24141950	KCMF1	12737
107	chr20	11519237	11522154	11521492	N	NA	NA	C20orf94,JAG1,MKKS,LOC339593,SNAP25	IMR90	Hi-C	24141950	BTBD3	349323
108	chr20	12735872	12741049	12739345	N	NA	NA	NA	NA	NA	NA	BTBD3	864395
109	chr20	13336354	13349901	13338546	N	NA	NA	SPTLC3	IMR90	Hi-C	24141950	ESF1	415631
110	chr20	31338573	31341206	31339746	Y	NA	COMMD7,DNMT3B	COMMD7,DNMT3B	K562,MCF7	ChIA-PET	22265404	COMMD7	6759
111	chr20	38896639	38910818	38897336,38902775	N,N	NA;NA	NA	MAFB	MCF7	ChIA-PET	22265404	TOP1	746644
112	chr20	59267649	59269830	59268517	N	NA	NA	LOC284757	IMR90	Hi-C	24141950	PPP1R3D	752297
113	chr21	38966006	38968943	38966850	N	NA	NA	DSCR3,KCNJ6	IMR90	Hi-C	24141950	DYRK1A	226147
114	chr21	9696055	9699250	9697878	N	NA	NA	NA	NA	NA	NA	RBM11	5889216
115	chr22	25084786	25089238	25087272	N	NA	NA	NA	NA	NA	NA	SGSM1	112898
116	chr22	36805363	36807589	36806264	Y	NA	MYH9	MYH9,FOXRED2,TXN2	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	MYH9	21300
117	chr22	41416694	41418071	41417304	N	NA	NA	ST13,RBX1,MIR1281,EP300	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	RBX1	69343
118	chr3	109073000	109078040	109075021	N	NA	DPPA2,DPPA4	NA	NA	NA	NA	DPPA4	16581
119	chr3	112414152	112415899	112414269	N	NA	NA	CD200R1L,CCDC80	IMR90	Hi-C	24141950	SLC35A5	133257
120	chr3	13492625	13494578	13493409	Y	NA	NUP210	IQSEC1,NUP210	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	NUP210	30816
121	chr3	156891529	156893968	156892821	N	NA	NA	CCNL1,VEPH1,PTX3,LEKR1,LOC339894,LOC100498859	IMR90,K562	Hi-C,ChIA-PET	24141950,22265404	TIPARP-AS1	498027
122	chr3	162385677	162389295	162388184	N	NA	NA	NA	NA	NA	NA	SPTSSB	1295806
123	chr3	16730020	16740486	16739025	N	NA	NA	TBC1D5	IMR90	Hi-C	24141950	PLCL2	185966
124	chr3	176039936	176048005	176039941,176045626	N,N	NA;NA	NA	NA	NA	NA	NA	TBL1XR1	867043
125	chr3	30589193	30592185	30590327	N	NA	NA	TGFBR2,RBMS3	IMR90	Hi-C	24141950	TGFBR2	55809
126	chr3	98031848	98047901	98045519	N	NA	NA	GABRR3	IMR90	Hi-C	24141950	CLDND1	194009
127	chr4	113625228	113627268	113626391	N	NA	NA	NA	NA	NA	NA	C4orf21	67077
128	chr4	113628161	113630249	113629240	N	NA	NA	NA	NA	NA	NA	C4orf21	70010
129	chr4	113666513	113671689	113668024	N	NA	NA	NA	NA	NA	NA	ANK2	67550
130	chr4	116893530	116895428	116894326	N	NA	NA	NA	NA	NA	NA	UGT8	1373919
131	chr4	123718230	123719326	123718750	N	NA	FGF2	FGF2,NUDT6,BBS12	IMR90	Hi-C	24141950	FGF2	28537
132	chr4	126476349	126485895	126482424	N	NA	NA	NA	NA	NA	NA	FAT4	238782
133	chr4	129602964	129606341	129604318	N	NA	NA	LARP1B	IMR90	Hi-C	24141950	PHF17	124438
