type	chr	pos1	pos2	top_region	label
h1	chr10	788860	789060	0.8697718906057129	nmf4
h1	chr10	789660	789860	0.8697718906057129	nmf4
h1	chr10	11794001	11794401	0.8697718906057129	nmf4
h1	chr10	11828801	11829201	0.8697718906057129	nmf4
h1	chr10	72325642	72325842	0.8697718906057129	nmf4
h1	chr10	72328242	72329842	0.8697718906057129	nmf4
h1	chr10	90781843	90782843	0.8697718906057129	nmf4
h1	chr10	90783243	90783443	0.8697718906057129	nmf4
h1	chr10	97551043	97551643	0.8697718906057129	nmf4
h1	chr10	112835041	112836241	0.8697718906057129	nmf4
h1	chr10	112838241	112839441	0.8697718906057129	nmf4
h1	chr10	114427441	114427641	0.8697718906057129	nmf4
h1	chr11	12879053	12879853	0.8697718906057129	nmf4
h1	chr11	27404653	27404853	0.8697718906057129	nmf4
h1	chr11	73346955	73347155	0.8697718906057129	nmf4
h1	chr11	102495869	102496069	0.8697718906057129	nmf4
h1	chr11	119472689	119472889	0.8697718906057129	nmf4
h1	chr11	119666690	119666890	0.8697718906057129	nmf4
h1	chr12	5200834	5202234	0.8697718906057129	nmf4
h1	chr12	5203434	5204034	0.8697718906057129	nmf4
h1	chr12	6924237	6924437	0.8697718906057129	nmf4
h1	chr12	42569598	42569998	0.8697718906057129	nmf4
h1	chr12	42565398	42566598	0.8697718906057129	nmf4
h1	chr12	57031416	57032216	0.8697718906057129	nmf4
h1	chr12	93743424	93744824	0.8697718906057129	nmf4
h1	chr12	120651197	120652997	0.8697718906057129	nmf4
h1	chr13	29722263	29722663	0.8697718906057129	nmf4
h1	chr13	30983063	30983263	0.8697718906057129	nmf4
h1	chr14	20607841	20608041	0.8697718906057129	nmf4
h1	chr14	20608841	20609041	0.8697718906057129	nmf4
h1	chr14	23123791	23124191	0.8697718906057129	nmf4
h1	chr14	23481591	23482191	0.8697718906057129	nmf4
h1	chr14	23484391	23484791	0.8697718906057129	nmf4
h1	chr14	74487497	74488497	0.8697718906057129	nmf4
h1	chr14	75282097	75282297	0.8697718906057129	nmf4
h1	chr14	99191263	99192663	0.8697718906057129	nmf4
h1	chr14	99881063	99881463	0.8697718906057129	nmf4
h1	chr14	100303263	100304463	0.8697718906057129	nmf4
h1	chr14	102235063	102236263	0.8697718906057129	nmf4
h1	chr15	57146602	57146802	0.8697718906057129	nmf4
h1	chr15	57147202	57147402	0.8697718906057129	nmf4
h1	chr15	65916462	65917062	0.8697718906057129	nmf4
h1	chr16	11319143	11319543	0.8697718906057129	nmf4
h1	chr16	14527543	14529543	0.8697718906057129	nmf4
h1	chr16	57416088	57416488	0.8697718906057129	nmf4
h1	chr16	57417488	57419488	0.8697718906057129	nmf4
h1	chr16	58511896	58513096	0.8697718906057129	nmf4
h1	chr16	68971897	68972497	0.8697718906057129	nmf4
h1	chr16	68973297	68974297	0.8697718906057129	nmf4
h1	chr16	85451994	85452794	0.8697718906057129	nmf4
h1	chr17	790360	790960	0.8697718906057129	nmf4
h1	chr17	28895782	28895982	0.8697718906057129	nmf4
h1	chr17	35010981	35011181	0.8697718906057129	nmf4
h1	chr17	35011581	35012181	0.8697718906057129	nmf4
h1	chr17	43762632	43762832	0.8697718906057129	nmf4
h1	chr17	58081239	58081439	0.8697718906057129	nmf4
h1	chr17	63426639	63428639	0.8697718906057129	nmf4
h1	chr17	81735570	81736170	0.8697718906057129	nmf4
h1	chr17	82234124	82234324	0.8697718906057129	nmf4
h1	chr17	82301124	82301324	0.8697718906057129	nmf4
h1	chr17	82303324	82303524	0.8697718906057129	nmf4
h1	chr18	830199	830799	0.8697718906057129	nmf4
h1	chr18	832199	832399	0.8697718906057129	nmf4
h1	chr18	3282002	3282802	0.8697718906057129	nmf4
h1	chr18	3284002	3284202	0.8697718906057129	nmf4
h1	chr18	47996429	47996629	0.8697718906057129	nmf4
h1	chr19	4792788	4792988	0.8697718906057129	nmf4
h1	chr19	5290789	5292189	0.8697718906057129	nmf4
h1	chr19	5336389	5338389	0.8697718906057129	nmf4
h1	chr19	10242524	10242924	0.8697718906057129	nmf4
h1	chr19	14202588	14204388	0.8697718906057129	nmf4
h1	chr19	18251990	18252190	0.8697718906057129	nmf4
h1	chr19	35145296	35145696	0.8697718906057129	nmf4
h1	chr19	38070560	38070760	0.8697718906057129	nmf4
h1	chr19	38074160	38074360	0.8697718906057129	nmf4
h1	chr19	50465943	50466543	0.8697718906057129	nmf4
h1	chr1	2310761	2311161	0.8697718906057129	nmf4
h1	chr1	2312361	2312761	0.8697718906057129	nmf4
h1	chr1	2313561	2313961	0.8697718906057129	nmf4
h1	chr1	2414161	2414561	0.8697718906057129	nmf4
h1	chr1	2467761	2468361	0.8697718906057129	nmf4
h1	chr1	2547961	2548961	0.8697718906057129	nmf4
h1	chr1	26690709	26690909	0.8697718906057129	nmf4
h1	chr1	27391096	27391496	0.8697718906057129	nmf4
h1	chr1	27393496	27393896	0.8697718906057129	nmf4
h1	chr1	27435886	27436886	0.8697718906057129	nmf4
h1	chr1	27555889	27556289	0.8697718906057129	nmf4
h1	chr1	27558889	27559089	0.8697718906057129	nmf4
h1	chr1	38291528	38291928	0.8697718906057129	nmf4
h1	chr1	38292528	38293128	0.8697718906057129	nmf4
h1	chr1	43546929	43548929	0.8697718906057129	nmf4
h1	chr1	45341328	45341528	0.8697718906057129	nmf4
h1	chr1	45360928	45361328	0.8697718906057129	nmf4
h1	chr1	95043244	95043644	0.8697718906057129	nmf4
h1	chr1	101286844	101287044	0.8697718906057129	nmf4
h1	chr1	153532324	153532524	0.8697718906057129	nmf4
h1	chr1	153533924	153534124	0.8697718906057129	nmf4
h1	chr1	154771124	154773324	0.8697718906057129	nmf4
h1	chr1	155053924	155054124	0.8697718906057129	nmf4
h1	chr1	160100610	160101610	0.8697718906057129	nmf4
h1	chr1	160102810	160105010	0.8697718906057129	nmf4
h1	chr1	160162410	160162810	0.8697718906057129	nmf4
h1	chr1	161233010	161233210	0.8697718906057129	nmf4
h1	chr1	169556562	169557162	0.8697718906057129	nmf4
h1	chr1	184480066	184480466	0.8697718906057129	nmf4
h1	chr1	184481466	184482266	0.8697718906057129	nmf4
h1	chr1	201893472	201894472	0.8697718906057129	nmf4
h1	chr1	205520072	205520272	0.8697718906057129	nmf4
h1	chr1	205523072	205524472	0.8697718906057129	nmf4
h1	chr1	235091285	235091485	0.8697718906057129	nmf4
h1	chr1	235094085	235094285	0.8697718906057129	nmf4
h1	chr20	9021153	9021353	0.8697718906057129	nmf4
h1	chr20	9022753	9023153	0.8697718906057129	nmf4
h1	chr20	31966797	31966997	0.8697718906057129	nmf4
h1	chr20	34522795	34523595	0.8697718906057129	nmf4
h1	chr20	37407597	37408597	0.8697718906057129	nmf4
h1	chr20	50292663	50293063	0.8697718906057129	nmf4
h1	chr20	50320863	50322263	0.8697718906057129	nmf4
h1	chr20	62250344	62250544	0.8697718906057129	nmf4
h1	chr21	36061302	36061502	0.8697718906057129	nmf4
h1	chr21	38808076	38808676	0.8697718906057129	nmf4
h1	chr21	38809076	38809276	0.8697718906057129	nmf4
h1	chr21	41950291	41951491	0.8697718906057129	nmf4
h1	chr21	43814119	43814719	0.8697718906057129	nmf4
h1	chr21	43810719	43812719	0.8697718906057129	nmf4
h1	chr21	46326086	46326486	0.8697718906057129	nmf4
h1	chr22	19949277	19949477	0.8697718906057129	nmf4
h1	chr22	31082414	31083814	0.8697718906057129	nmf4
h1	chr22	31148614	31149014	0.8697718906057129	nmf4
h1	chr22	37623393	37624193	0.8697718906057129	nmf4
h1	chr2	1698028	1698628	0.8697718906057129	nmf4
h1	chr2	36462657	36464057	0.8697718906057129	nmf4
h1	chr2	36507657	36508057	0.8697718906057129	nmf4
h1	chr2	63698866	63699466	0.8697718906057129	nmf4
h1	chr2	64330866	64331066	0.8697718906057129	nmf4
h1	chr2	64331466	64332266	0.8697718906057129	nmf4
h1	chr2	71069670	71069870	0.8697718906057129	nmf4
h1	chr2	96923263	96923663	0.8697718906057129	nmf4
h1	chr2	105235343	105235543	0.8697718906057129	nmf4
h1	chr2	105237343	105237943	0.8697718906057129	nmf4
h1	chr2	105238543	105238743	0.8697718906057129	nmf4
h1	chr2	201861077	201861277	0.8697718906057129	nmf4
h1	chr2	207891076	207892076	0.8697718906057129	nmf4
h1	chr2	207892276	207892476	0.8697718906057129	nmf4
h1	chr2	219595478	219596078	0.8697718906057129	nmf4
h1	chr2	219596478	219596678	0.8697718906057129	nmf4
h1	chr2	219688078	219688278	0.8697718906057129	nmf4
h1	chr3	46496110	46497710	0.8697718906057129	nmf4
h1	chr3	150215813	150216813	0.8697718906057129	nmf4
h1	chr3	193974211	193974611	0.8697718906057129	nmf4
h1	chr4	24687777	24689977	0.8697718906057129	nmf4
h1	chr5	15596691	15597291	0.8697718906057129	nmf4
h1	chr5	138035911	138036511	0.8697718906057129	nmf4
h1	chr5	140548615	140549215	0.8697718906057129	nmf4
h1	chr5	141715633	141717033	0.8697718906057129	nmf4
h1	chr5	141717433	141718233	0.8697718906057129	nmf4
h1	chr5	141718633	141719233	0.8697718906057129	nmf4
h1	chr5	142852035	142852635	0.8697718906057129	nmf4
h1	chr5	147577237	147577437	0.8697718906057129	nmf4
h1	chr5	172102196	172103996	0.8697718906057129	nmf4
h1	chr5	172104396	172104596	0.8697718906057129	nmf4
h1	chr5	173981197	173981997	0.8697718906057129	nmf4
h1	chr6	26342972	26343172	0.8697718906057129	nmf4
h1	chr6	26420372	26420572	0.8697718906057129	nmf4
h1	chr6	26422572	26422772	0.8697718906057129	nmf4
h1	chr6	33147223	33147423	0.8697718906057129	nmf4
h1	chr6	33148423	33148623	0.8697718906057129	nmf4
h1	chr6	43951063	43951863	0.8697718906057129	nmf4
h1	chr6	43954463	43954863	0.8697718906057129	nmf4
h1	chr6	44225263	44227463	0.8697718906057129	nmf4
h1	chr6	108780397	108781597	0.8697718906057129	nmf4
h1	chr6	109945797	109945997	0.8697718906057129	nmf4
h1	chr6	109949397	109949597	0.8697718906057129	nmf4
h1	chr6	138818463	138818663	0.8697718906057129	nmf4
h1	chr6	151323865	151324665	0.8697718906057129	nmf4
h1	chr6	155080866	155081066	0.8697718906057129	nmf4
h1	chr6	155147866	155148666	0.8697718906057129	nmf4
h1	chr7	26078780	26079380	0.8697718906057129	nmf4
h1	chr7	31122386	31122786	0.8697718906057129	nmf4
h1	chr7	70587414	70589414	0.8697718906057129	nmf4
h1	chr7	129664560	129664960	0.8697718906057129	nmf4
h1	chr7	131608241	131608841	0.8697718906057129	nmf4
h1	chr8	37924282	37924482	0.8697718906057129	nmf4
h1	chr8	38510482	38510682	0.8697718906057129	nmf4
h1	chr8	38512882	38514882	0.8697718906057129	nmf4
h1	chr8	38710682	38711482	0.8697718906057129	nmf4
h1	chr8	38712482	38713282	0.8697718906057129	nmf4
h1	chr8	38714682	38714882	0.8697718906057129	nmf4
h1	chr8	41400281	41401681	0.8697718906057129	nmf4
h1	chr8	41404081	41404281	0.8697718906057129	nmf4
h1	chr8	102702172	102702572	0.8697718906057129	nmf4
h1	chr8	102790972	102791572	0.8697718906057129	nmf4
h1	chr8	125226958	125227758	0.8697718906057129	nmf4
h1	chr8	125228158	125228558	0.8697718906057129	nmf4
h1	chr8	127859154	127859354	0.8697718906057129	nmf4
h1	chr8	141383700	141384900	0.8697718906057129	nmf4
h1	chr9	27340802	27341802	0.8697718906057129	nmf4
h1	chr9	77983084	77983884	0.8697718906057129	nmf4
h1	chr9	123111921	123112921	0.8697718906057129	nmf4
h1	chr9	136850348	136850548	0.8697718906057129	nmf4
