genes	chr	pos1	pos2	label	H1_rep1	H1_rep2	H1_rep3	H1_rep4	DEC_rep1	DEC_rep2	mean_H1	mean_DEC
AC012377.1	chr15	39925000	39930000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC012459.1	chr2	200475000	200480000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC012507.1	chr2	230910000	230915000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC013726.1	chr2	233350000	233355000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC015813.4	chr17	57955000	57960000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC016737.1	chr2	173965000	173970000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC016912.1	chr2	46465000	46470000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC019257.8	chr8	1820000	1825000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC019257.8	chr8	1945000	1950000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC020907.2	chr19	35135000	35140000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC020907.5	chr19	35135000	35140000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC022784.1	chr8	9330000	9335000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC022784.5	chr8	9145000	9150000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC025031.1	chr12	46380000	46385000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC025040.1	chr15	49875000	49880000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC025262.3	chr12	64695000	64700000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC025809.1	chr19	31370000	31375000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC026894.1	chr11	8810000	8815000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC027130.1	chr16	19760000	19765000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC036214.3	chr8	80080000	80085000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC044913.1	chr15	25925000	25930000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC068896.1	chr10	124695000	124700000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC069288.1	chr7	2080000	2085000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC069288.1	chr7	2205000	2210000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC069288.1	chr7	1945000	1950000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC073111.3	chr7	150405000	150410000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC073111.4	chr7	150405000	150410000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC073283.3	chr2	47150000	47155000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC073592.6	chr12	124560000	124565000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC078846.1	chr7	129600000	129605000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC084879.1	chr12	95335000	95340000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC087276.2	chr11	43330000	43335000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC087289.4	chr17	75905000	75910000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC089999.2	chr12	113245000	113250000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC090360.1	chr18	80045000	80050000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC090587.1	chr11	3855000	3860000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC090587.2	chr11	3855000	3860000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC092580.2	chr2	7670000	7675000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC092580.4	chr2	7670000	7675000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC092933.2	chr3	196605000	196610000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC093425.1	chr1	59145000	59150000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC099489.1	chr16	11355000	11360000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC099524.1	chr16	81750000	81755000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC099795.1	chr1	42960000	42965000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104024.3	chr17	17030000	17035000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104024.4	chr17	17030000	17035000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104088.1	chr2	172165000	172170000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104088.1	chr2	172170000	172175000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104088.1	chr2	172225000	172230000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC104634.1	chr2	231555000	231560000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC105001.1	chr8	10730000	10735000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC105133.2	chr15	77780000	77785000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC107294.2	chr3	184710000	184715000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC111182.1	chr17	77375000	77380000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC113361.1	chr5	139645000	139650000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC113391.1	chr5	176720000	176725000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC119396.1	chr19	7345000	7350000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC126182.3	chr3	120450000	120455000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC130462.1	chr16	68090000	68095000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC137834.1	chr12	57260000	57265000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC137834.2	chr12	57230000	57235000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC145422.1	chr12	121580000	121585000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC243830.2	chr17	36630000	36635000	5	NA	NA	NA	NA	NA	NA	NA	NA
AC244502.1	chr14	22390000	22395000	5	NA	NA	NA	NA	NA	NA	NA	NA
ACBD4	chr17	45135000	45140000	5	112.10061264661695	96.0569327420139	115.80629335738848	117.17855953653518	110.14358673134166	143.93282947262497	110.28559957063862	127.03820810198332
ACOXL	chr2	110750000	110755000	5	195.18694907881542	216.4663273059468	186.96437722759106	194.34492801181446	15.941834921641554	18.626601461163233	198.24064540604195	17.284218191402395
ACTN1	chr14	68970000	68975000	5	5971.665577222137	5749.886819064212	5781.943128590577	5624.570857753689	8562.697696548381	7971.620982909344	5782.016595657654	8267.159339728863
ADAMTS14	chr10	70755000	70760000	5	25.057784003361437	31.117034550229853	29.30038747596576	35.72517059040707	7.7293745074625715	7.337752090761273	30.30009415499103	7.533563299111922
ADCY2	chr5	7515000	7520000	5	1628.7559602184936	1706.0252420799932	1621.2881070034389	1540.4693558583529	352.16962599626345	422.7674089215534	1624.1346662900696	387.4685174589084
AF111169.2	chr14	76920000	76925000	5	NA	NA	NA	NA	NA	NA	NA	NA
AHCYL2	chr7	129425000	129430000	5	445.7647891124298	453.2263727968261	454.85363415070657	485.86232002953614	414.4877079626804	339.794366049099	459.92677902237466	377.1410370058897
AHDC1	chr1	27600000	27605000	5	358.7219604691743	363.9340127831231	343.2331104327418	304.3784534302682	832.3570172723757	768.7706421243735	342.5668842788268	800.5638296983745
AKAP2	chr9	110085000	110090000	5	962.7464380238869	928.0993783242469	964.122273613921	1017.4528584147932	715.9333137537208	368.58093194362397	968.105237094212	542.2571228486723
AL021393.1	chr22	29105000	29110000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL031666.2	chr20	47315000	47320000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL031731.1	chr1	11630000	11635000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL049749.1	chr22	36705000	36710000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL132819.1	chr14	99320000	99325000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL137230.2	chr14	89755000	89760000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL137793.1	chr1	229025000	229030000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL138720.1	chr6	14885000	14890000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL138720.1	chr6	14855000	14860000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL138721.1	chr6	35070000	35075000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL138752.2	chr9	37950000	37955000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL138889.1	chr6	33900000	33905000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL139011.2	chr1	160235000	160240000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL139158.2	chr1	38045000	38050000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL157838.1	chr20	53575000	53580000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL160313.1	chr14	99600000	99605000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL353597.1	chr6	37545000	37550000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL353597.2	chr6	37545000	37550000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL354809.1	chr13	39090000	39095000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL355336.1	chr6	7180000	7185000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL356423.1	chr13	98550000	98555000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL357054.2	chr6	695000	700000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL357153.1	chr14	70620000	70625000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL357153.3	chr14	70620000	70625000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL359073.1	chr9	112360000	112365000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL359762.2	chr1	84610000	84615000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL390778.1	chr9	135220000	135225000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL391056.2	chr9	129505000	129510000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL391832.2	chr1	234970000	234975000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL391832.4	chr1	234910000	234915000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL391994.1	chr1	235335000	235340000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL441992.2	chr9	128870000	128875000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL445228.2	chr1	184385000	184390000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL450468.1	chr1	109880000	109885000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL451062.3	chr1	43650000	43655000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL513327.1	chr1	33325000	33330000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL513477.2	chr1	2360000	2365000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL589745.1	chr13	44245000	44250000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL590627.2	chr9	137710000	137715000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL590822.3	chr1	2315000	2320000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL592301.1	chr9	136540000	136545000	5	NA	NA	NA	NA	NA	NA	NA	NA
AL627422.1	chr6	158920000	158925000	5	NA	NA	NA	NA	NA	NA	NA	NA
ALG14	chr1	94990000	94995000	5	60.66621390287506	40.587436369865024	50.22923567308416	61.447293415500155	130.9162807201473	141.67505959854458	53.2325448403311	136.29567015934595
ALOX15B	chr17	8045000	8050000	5	3.956492211057069	8.117487273973005	11.16205237179648	10.00304776531398	1.9323436268656429	3.951097279640686	8.309769905535134	2.9417204532531644
AMOTL2	chr3	134375000	134380000	5	925.8191773873542	965.9809856027877	985.0511218110394	950.289537704828	3959.3720914477026	4127.767772287477	956.7852056265024	4043.5699318675897
ANKRD11	chr16	89340000	89345000	5	2905.3841136529077	3106.2917968403367	3027.7067058497955	2883.7357700576586	2847.308334186525	2771.976962902201	2980.7795966001745	2809.642648544363
ANKRD11	chr16	89415000	89420000	5	2905.3841136529077	3106.2917968403367	3027.7067058497955	2883.7357700576586	2847.308334186525	2771.976962902201	2980.7795966001745	2809.642648544363
ANKS1A	chr6	35070000	35075000	5	952.1957921277346	930.8052074155713	883.1973939183965	918.8513875852698	1326.0708139365474	1159.9292728088014	921.2624452617431	1243.0000433726746
ANXA13	chr8	123690000	123695000	5	0	0	0	0	0	0	0	0
AOX2P	chr2	200740000	200745000	5	NA	NA	NA	NA	NA	NA	NA	NA
AOX3P-AOX2P	chr2	200740000	200745000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP000317.1	chr21	34240000	34245000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP000317.2	chr21	34240000	34245000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP001042.1	chr21	38915000	38920000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP002852.1	chr8	102525000	102530000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP002954.1	chr11	118745000	118750000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP005264.7	chr18	12280000	12285000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP005717.1	chr8	119865000	119870000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP006547.1	chr8	142620000	142625000	5	NA	NA	NA	NA	NA	NA	NA	NA
AP1M2	chr19	10580000	10585000	5	1979.5649362655536	2030.7247330389134	1960.3354477967569	1831.9867478760743	430.42954288432196	482.59831058468376	1950.6529662443245	456.5139267345029
API5	chr11	43330000	43335000	5	2884.2828218606032	2782.9452204270788	2846.3233548081025	2863.7296745270305	2538.133353888022	2050.619488133516	2844.320267905704	2294.3764210107693
AQP4-AS1	chr18	26810000	26815000	5	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP26	chr5	142810000	142815000	5	350.8089760470601	328.7582345959067	351.60464971158916	341.5326308442916	494.1968825708882	612.9845208128264	343.1761227997119	553.5907016918572
ARHGEF10	chr8	1945000	1950000	5	1142.107418258474	1174.3298256347614	1141.31985501619	1150.3504930111076	712.5517124067059	765.3839873132529	1152.0268979801333	738.9678498599794
ARHGEF10	chr8	1820000	1825000	5	1142.107418258474	1174.3298256347614	1141.31985501619	1150.3504930111076	712.5517124067059	765.3839873132529	1152.0268979801333	738.9678498599794
ARHGEF11	chr1	156995000	157000000	5	920.5438544392781	1005.2155074269905	922.2645772196842	905.9903261727233	2438.134571197725	2728.5148928261538	938.503566314669	2583.3247320119394
ARHGEF3	chr3	57005000	57010000	5	89.68049011729357	67.64572728310837	75.34385350962624	67.16332070996529	542.0223873358128	364.0653921954632	74.95834790499836	453.043889765638
ARMC9	chr2	231340000	231345000	5	404.8810362648401	382.8748164223934	387.8813199199277	402.97992425979174	490.3321953171569	357.292082573222	394.65427421673826	423.8121389451894
ARMC9	chr2	231225000	231230000	5	404.8810362648401	382.8748164223934	387.8813199199277	402.97992425979174	490.3321953171569	357.292082573222	394.65427421673826	423.8121389451894
ARNTL	chr11	13330000	13335000	5	129.24541222786425	90.64527455936522	99.06321479969377	92.88544353505837	42.02847388432774	47.97760982420833	102.95983628049541	45.003041854268034
ASAP2	chr2	9285000	9290000	5	370.5914371023455	370.6985855114339	343.2331104327418	378.6868082583149	615.4514451567073	510.82043401068864	365.802485326209	563.135939583698
ASCC1	chr10	72125000	72130000	5	443.12712763839176	556.0478782671508	481.36350853372323	430.1310539085011	389.3672408134271	389.4653032788676	477.66739208694173	389.41627204614736
ATG7	chr3	11375000	11380000	5	313.8817154105275	305.7586873196499	350.2093931651146	368.68376049300093	348.30493874253216	349.38988801394066	334.63338909707323	348.8474133782364
ATP11A	chr13	112875000	112880000	5	1231.7879083757675	1335.3266565685594	1261.3119180130022	1253.23898431148	3288.365767018608	3057.0204095048507	1270.4163668172023	3172.6930882617294
ATP13A4	chr3	193465000	193470000	5	0	0	4.18576963942368	0	11.594061761193858	6.208867153721077	1.04644240985592	8.901464457457468
ATP1A4	chr1	160155000	160160000	5	11.869476633171207	12.176230910959507	19.533591650643842	10.00304776531398	7.246288600746161	3.951097279640686	13.395586740022134	5.598692940193423
ATP2B2	chr3	10700000	10705000	5	7.912984422114138	2.7058290913243352	6.9762827323728	12.861061412546544	0	3.3866548111205876	7.614039414589454	1.6933274055602938
ATP8B4	chr15	49875000	49880000	5	5.275322948076092	0	4.18576963942368	4.287020470848848	12.560233574626679	14.11106171300245	3.437028264587155	13.335647643814564
ATP9A	chr20	51755000	51760000	5	294.0992543552421	313.87617459362286	336.256827700369	321.5265353136636	891.2934978917779	647.9799538610724	316.4396979907244	769.6367258764251
ATP9A	chr20	51650000	51655000	5	294.0992543552421	313.87617459362286	336.256827700369	321.5265353136636	891.2934978917779	647.9799538610724	316.4396979907244	769.6367258764251
ATXN7L1	chr7	105655000	105660000	5	618.5316156619218	669.692700102773	646.0037810177213	627.3339955675481	183.57264455223608	145.62615687818527	640.390523087491	164.59940071521066
ATXN7L1	chr7	105725000	105730000	5	618.5316156619218	669.692700102773	646.0037810177213	627.3339955675481	183.57264455223608	145.62615687818527	640.390523087491	164.59940071521066
ATXN7L1	chr7	105770000	105775000	5	618.5316156619218	669.692700102773	646.0037810177213	627.3339955675481	183.57264455223608	145.62615687818527	640.390523087491	164.59940071521066
AUTS2	chr7	70710000	70715000	5	978.5724068681151	937.5697801438821	920.8693206732096	961.7215922937582	1823.6492978544507	1974.4197548833026	949.6832749947413	1899.0345263688766
BAIAP2	chr17	81040000	81045000	5	170.12916507545398	196.1726091210143	198.12642959938754	175.76783930480278	361.34825822387523	329.0699591472171	185.04901077516465	345.2091086855462
BBX	chr3	107735000	107740000	5	734.5887205195959	758.985060116476	738.0907130850422	768.8056711055601	1308.1966353880402	1009.2231337139352	750.1175412066685	1158.7098845509877
BCL11A	chr2	60475000	60480000	5	243.98368634851926	221.87798548859547	163.24501593752353	211.49300989520984	72.94597191417802	64.34644141129117	210.14992441746202	68.64620666273458
BCR	chr22	23275000	23280000	5	3134.8606618942176	3209.1133023106613	3015.1493969315243	2980.9082340635655	3128.9474178021924	3125.3179481957823	3085.0078987999923	3127.1326829989875
BICRA	chr19	47665000	47670000	5	NA	NA	NA	NA	NA	NA	NA	NA
BLCAP	chr20	37505000	37510000	5	803.1679188445851	758.985060116476	765.9958440145334	805.9598485195835	702.4069083656613	643.4644141129116	783.5271678737945	672.9356612392864
BRINP1	chr9	119285000	119290000	5	NA	NA	NA	NA	NA	NA	NA	NA
BSN	chr3	49660000	49665000	5	108.14412043555988	137.9972836575411	96.27270170674464	84.31140259336068	37.68070072388004	37.817645390846565	106.68137709830157	37.7491730573633
BX322557.1	chr21	45335000	45340000	5	NA	NA	NA	NA	NA	NA	NA	NA
C13orf46	chr13	113950000	113955000	5	NA	NA	NA	NA	NA	NA	NA	NA
C1orf21	chr1	184385000	184390000	5	449.72128132348683	438.3443127945423	467.41094306897764	510.1554360310129	556.5149645373052	426.7185062011941	466.40799330450494	491.6167353692497
C21orf59-TCP10L	chr21	32585000	32590000	5	NA	NA	NA	NA	NA	NA	NA	NA
C22orf24	chr22	31945000	31950000	5	1.318830737019023	5.4116581826486705	2.79051309294912	0	8.695546320895394	2.8222123426004897	2.3802505031542034	5.758879331747941
C22orf34	chr22	49455000	49460000	5	NA	NA	NA	NA	NA	NA	NA	NA
C3orf70	chr3	185080000	185085000	5	60.66621390287506	48.70492364383803	46.04346603366048	61.447293415500155	46.37624704477543	48.54205229272843	54.215474248968434	47.459149668751934
C6orf132	chr6	42125000	42130000	5	944.2828077056205	983.5688746963958	975.2843259857175	890.2712511129441	493.23071075745537	592.6645919461029	948.3518148751695	542.9476513517791
CABLES1	chr18	23135000	23140000	5	524.8946333335712	600.6940582740024	566.4741578686713	518.7294769727106	142.99342838805757	103.85741420769803	552.6980816122389	123.42542129787779
CACNA1G-AS1	chr17	50555000	50560000	5	NA	NA	NA	NA	NA	NA	NA	NA
CACNA1S	chr1	201050000	201055000	5	0	1.3529145456621676	4.18576963942368	1.4290068236162827	0	0	1.7419227521755325	0
CACNA2D2	chr3	50495000	50500000	5	470.8225731157912	416.6976800639476	407.4149115705715	467.28523132252445	1059.4073934290889	1043.089681825141	440.5550990182087	1051.248537627115
CACNG4	chr17	66975000	66980000	5	79.12984422114138	93.35110365068957	64.18180113782977	85.74040941697696	66.66585512686468	20.319928866723526	80.60078960665942	43.49289199679411
CAMSAP1	chr9	135820000	135825000	5	1218.5996010055774	1415.1486147626272	1304.5648709537136	1257.5260047823288	1657.4677459440052	1426.9105604188078	1298.9597728760618	1542.1891531814065
CAMTA1	chr1	7455000	7460000	5	559.1842324960658	599.3411437283402	556.7073620433495	547.3096134450362	577.7707444328272	664.3487854481554	565.6355879281979	621.0597649404913
CBX6	chr22	38870000	38875000	5	379.8232522614786	435.63848370321796	439.5058121394864	387.2608492000126	252.6539292126828	194.7326516394338	410.5570993260489	223.6932904260583
CCDC12	chr3	46930000	46935000	5	484.01088048598143	434.28556915755576	389.2765764664023	422.9860197904197	388.88415490671065	446.4739925993975	432.6397614750898	417.67907375305407
CCDC163	chr1	45490000	45495000	5	NA	NA	NA	NA	NA	NA	NA	NA
CCDC169	chr13	36270000	36275000	5	34.289599162494596	37.88160727854069	48.8339791266096	27.15112964870937	16.424920828357966	7.337752090761273	37.03907880408856	11.88133645955962
CCDC169-SOHLH2	chr13	36270000	36275000	5	83.08633643219845	94.70401819635173	97.6679582532192	97.17246400590723	51.20710611193954	58.702016726090186	93.15769422191914	54.954561419014865
CCDC85C	chr14	99600000	99605000	5	718.7627516753676	750.867572842503	735.3001999920931	671.63320709965285	905.3029891865538	970.8410458545685	719.1409329024041	938.0720175205611
CCDC85C	chr14	99580000	99585000	5	718.7627516753676	750.867572842503	735.3001999920931	671.63320709965285	905.3029891865538	970.8410458545685	719.1409329024041	938.0720175205611
CD244	chr1	160835000	160840000	5	0	0	0	0	1.9323436268656429	0.5644424685200979	0	1.2483930476928704
CDH3	chr16	68700000	68705000	5	3840.4351061993952	3946.4517296965428	3800.678832596702	3784.0100689359165	761.3433889850634	901.4146222265965	3842.893934357139	831.3790056058299
CDK18	chr1	205515000	205520000	5	543.3582636518375	558.7537073584751	535.778513846231	525.874511090792	214.9732284888028	202.07040373019507	540.9412489868339	208.52181610949893
CECR2	chr22	17470000	17475000	5	2255.2005603025295	2206.603623974995	2295.1970189506515	2113.501092128482	1483.073733619381	951.0855594563651	2217.6255738391646	1217.079646537873
CERS6	chr2	168685000	168690000	5	931.0945003354303	1009.274251063977	925.0550903126333	911.7063534671884	2208.1856796007137	1882.4156325145268	944.2825487948072	2045.3006560576202
CERS6	chr2	168770000	168775000	5	931.0945003354303	1009.274251063977	925.0550903126333	911.7063534671884	2208.1856796007137	1882.4156325145268	944.2825487948072	2045.3006560576202
CERS6-AS1	chr2	168770000	168775000	5	NA	NA	NA	NA	NA	NA	NA	NA
CFL1P3	chr1	63840000	63845000	5	NA	NA	NA	NA	NA	NA	NA	NA
CHCHD6	chr3	126900000	126905000	5	470.8225731157912	464.04968916212346	417.18170739589345	364.3967400221521	265.2141627873095	314.3944549656946	429.11267742399	289.80430887650203
CHMP6	chr17	80990000	80995000	5	344.214822361965	434.28556915755576	394.8576026523005	391.5478696708615	390.33341262685985	385.51420599922693	391.2264659606707	387.9238093130434
CHN2	chr7	29335000	29340000	5	17.144799581247298	35.17577818721636	25.11461783654208	17.148081883395392	112.07593035820729	112.3240512354995	23.645819372100284	112.1999907968534
CHPF	chr2	219540000	219545000	5	1597.104022530037	1707.3781566256555	1603.1497718992696	1447.5839123232943	1894.662926141763	2365.0139430992103	1588.8039658445641	2129.8384346204866
CHRNA1	chr2	174770000	174775000	5	0	0	1.39525654647456	2.8580136472325655	0.4830859067164107	1.1288849370401959	1.0633175484267814	0.8059854218783034
CLSTN2	chr3	140295000	140300000	5	10.550645896152185	10.823316365297341	5.58102618589824	5.716027294465131	1108.1990700074462	767.0773147188131	8.167753935453224	937.6381923631296
CLVS1	chr8	61095000	61100000	5	0	1.3529145456621676	6.9762827323728	4.287020470848848	0.9661718134328214	0.5644424685200979	3.154054437220954	0.7653071409764597
